state,county,zipcode,county_name,mean_income_rank_p25,mean_income_rank_p25_se,jail_rank_p25,jail_rank_p25_se,child_below_med,income_rank_black_p25,income_rank_black_p25_se,income_rank_hisp_p25,income_rank_hisp_p25_se,income_rank_white_p25,income_rank_white_p25_se,jail_rank_black_p25,jail_rank_black_p25_se,jail_rank_hisp_p25,jail_rank_hisp_p25_se,jail_rank_white_p25,jail_rank_white_p25_se,child_below_med_white,child_below_med_black,child_below_med_hisp,income_rank_female_p25,income_rank_female_p25_se,income_rank_male_p25,income_rank_male_p25_se,jail_rank_female_p25,jail_rank_female_p25_se,jail_rank_male_p25,jail_rank_male_p25_se,child_below_med_male,child_below_med_female,income_rank_black_female_p25,income_rank_black_female_p25_se,income_rank_hisp_female_p25,income_rank_hisp_female_p25_se,income_rank_white_female_p25,income_rank_white_female_p25_se,income_rank_black_male_p25,income_rank_black_male_p25_se,income_rank_hisp_male_p25,income_rank_hisp_male_p25_se,income_rank_white_male_p25,income_rank_white_male_p25_se,jail_rank_black_female_p25,jail_rank_black_female_p25_se,jail_rank_hisp_female_p25,jail_rank_hisp_female_p25_se,jail_rank_white_female_p25,jail_rank_white_female_p25_se,jail_rank_black_male_p25,jail_rank_black_male_p25_se,jail_rank_hisp_male_p25,jail_rank_hisp_male_p25_se,jail_rank_white_male_p25,jail_rank_white_male_p25_se,child_below_med_white_m,child_below_med_black_m,child_below_med_hisp_m,child_below_med_white_f,child_below_med_black_f,child_below_med_hisp_f
1,1,11101,Montgomery,0.36166623,0.005026119,0.030568201,0.004107547,5922.3921,0.30703157,0.007037896,0.42103776,0.035488289,0.4072639,0.007121996,0.054793399,0.009301784,0.046318766,0.037616383,0.014130667,0.003634194,3613.1956,1977.7889,104.45943,0.37330192,0.007158849,0.35082957,0.007134533,0.005091624,0.002420284,0.058250003,0.008733283,3040.1445,2882.3184,0.31653175,0.008818603,0.44483456,0.051825602,0.41663092,0.010207727,0.29705879,0.010722122,0.41235104,0.05253695,0.39731681,0.010003624,0.007654435,0.004560289,0.036208089,0.025648907,0.003745946,0.002331378,0.11109965,0.01872359,0.057967998,0.057394609,0.025038427,0.006608055,1874.4681,989.14886,50.308254,1739.2478,989.09662,54.077316
1,3,11001,Mobile,0.38884708,0.003598815,0.022593379,0.002462686,15458.396,0.30187976,0.005780522,0.44738877,0.02158235,0.42699328,0.004516343,0.035105586,0.006024749,0.028766397,0.015238275,0.018062815,0.002671566,10770.843,3880.4788,429.47314,0.39921513,0.005028291,0.37902823,0.005075038,0.006485956,0.00182108,0.039739996,0.004666939,7962.8013,7495.7334,0.30597675,0.007236504,0.4618094,0.032283742,0.43520808,0.00641796,0.29818106,0.008921127,0.4297072,0.031222891,0.41854432,0.006320686,0.004991348,0.002663856,-0.001148598,0.002355168,0.006636709,0.002169508,0.065774396,0.011150313,0.054038107,0.034066316,0.029860929,0.004700738,5544.375,1964.9684,218.4359,5226.0781,1916.2694,210.0603
1,5,10301,Eufaula,0.34938559,0.005937346,0.033516064,0.005712424,4863.9736,0.30861527,0.00618079,,,0.43485212,0.012811262,0.047071029,0.008244023,,,0.005614588,0.003634462,1358.4885,3598.0781,,0.35608861,0.007736946,0.34320664,0.008530383,0.00022393,0.000549086,0.072055168,0.012447089,2491.9204,2372.1504,0.31101197,0.007722477,,,0.43970174,0.018463269,0.30621025,0.010246105,,,0.43018982,0.017727379,0.000726026,0.001124945,,,-0.000256244,0.001115594,0.10808831,0.018941563,,,0.009499614,0.006569903,729.84253,1787.3691,,629.64722,1806.0917,
1,7,10801,Tuscaloosa,0.36339074,0.008232822,0.031666659,0.007498509,3061.4934,0.30943772,0.012161376,0.3734062,0.076246761,0.3977851,0.011160565,0.054939512,0.016756417,,,0.024269572,0.008078491,1923.1654,1178.8741,35.510155,0.3558453,0.010559381,0.37067157,0.012394083,0.004310882,0.003036074,0.06056042,0.014509503,1576.3676,1486.0006,0.30775386,0.015689099,,,0.38648933,0.015581427,0.31123033,0.019480785,,,0.41017145,0.016279053,0.000132125,0.001986721,,,0.006088487,0.004674827,0.12375517,0.035738874,,,0.038611572,0.013740941,983.28558,613.93317,,941.44788,565.88971,
1,9,10700,Birmingham,0.39187884,0.005882429,0.020527514,0.003750149,6740.9116,0.31017911,0.03066876,0.45153114,0.021584278,0.40401202,0.006311204,0.021751901,0.026376814,0.011501864,0.008631945,0.020448862,0.003643088,5727.8589,134.14302,853.33936,0.40105549,0.007981909,0.38267124,0.008293556,0.005786195,0.002373611,0.034956634,0.006699298,3443.9287,3294.0259,0.32525066,0.037387505,0.43540838,0.02772801,0.41552889,0.009055036,0.26711884,0.047145713,0.47313872,0.032826606,0.3929297,0.008955616,0.033067301,0.037233427,-0.001589437,0.003356204,0.00639095,0.002523567,,,0.037590586,0.027402353,0.034563728,0.007016394,2946.53,71.30426,442.63373,2779.3289,64.377319,411.61533
1,11,9800,Auburn,0.34565896,0.007953256,0.019160038,0.005891456,2581.3296,0.32739598,0.00845188,,,0.49542519,0.033437189,0.020280167,0.007501942,,,0.02220013,0.019605834,206.22433,2302.3767,,0.34905744,0.010664424,0.3419629,0.011626344,0.006425698,0.004242839,0.035033558,0.011484439,1216.525,1365.4567,0.32922345,0.010485822,,,0.50184846,0.045382846,0.32420555,0.013574209,,,0.48592603,0.050446019,0.007444521,0.003475895,,,0.002083986,0.009211714,0.035090063,0.01182867,,,0.027016638,0.032060605,87.676537,1096.4053,,121.27898,1200.0851,
1,13,11101,Montgomery,0.35724857,0.006073091,0.022641044,0.004163459,4092.7781,0.3105163,0.006382822,0.30728939,0.049828481,0.42536673,0.011832338,0.034608331,0.007030531,0.005735912,0.018517733,0.005676073,0.003581556,1398.0975,2696.1943,23.588257,0.35734633,0.007864,0.35681453,0.008630079,0.0030897,0.002025544,0.044368733,0.009169581,2107.1919,1982.8846,0.31134364,0.008339133,,,0.41785789,0.017145062,0.3091144,0.010099036,,,0.43218827,0.016560528,0.000243247,0.000878223,,,0.004895973,0.004540985,0.06956777,0.01501862,,,0.006234925,0.002784342,738.57843,1381.8242,,659.42963,1315.3586,
1,15,9600,LaGrange,0.36184675,0.003164221,0.02615813,0.002393368,15036.147,0.31543028,0.004441229,0.39848036,0.020483637,0.40015283,0.004354979,0.047771245,0.005299075,0.008719858,0.004599429,0.012567037,0.00207284,9230.7852,5060.251,272.32574,0.37384027,0.004256028,0.34985793,0.004583995,0.006969887,0.001515849,0.04860086,0.004582863,7603.9673,7432.1787,0.33008352,0.005687664,0.37722531,0.025590677,0.40824965,0.006251684,0.29953319,0.006581218,0.41985902,0.031909216,0.39230505,0.006439549,0.008532081,0.002729601,0.00453786,0.003724005,0.00415623,0.001386119,0.09728007,0.011071642,0.006057465,0.007244419,0.021575194,0.00397793,4676.8857,2553.981,117.87507,4551.6084,2507.7693,159.45624
1,17,9600,LaGrange,0.34057492,0.004887297,0.02102573,0.003670356,5885.4712,0.31764951,0.005365565,0.4771722,0.057998609,0.38074261,0.009238823,0.021655202,0.005095021,0.018454138,0.031360012,0.02065099,0.006053554,2176.4094,3628.1714,64.754387,0.34850177,0.00673268,0.33313468,0.006983749,0.002335957,0.001359221,0.04290662,0.007467859,2993.5168,2892.5999,0.3216854,0.007021896,,,0.38433,0.0132577,0.31302178,0.008558704,,,0.37660423,0.012803376,0.001394881,0.000949734,,,0.004836092,0.003536583,0.04764026,0.009370133,,,0.036681425,0.011400589,1129.088,1806.6311,,1047.6868,1821.0117,
1,19,6600,Rome,0.36542159,0.007608295,0.022722345,0.005291645,3303.9607,0.30699265,0.023355134,0.35949358,0.054529484,0.38608083,0.008670681,0.068078317,0.031587895,-0.018081047,0.01807403,0.017450064,0.004700961,2897.1387,253.71942,72.592636,0.36228549,0.010046924,0.3684217,0.011139685,0.003391253,0.002540298,0.039157886,0.009979081,1753.5037,1552.3844,0.30513346,0.027099995,,,0.38794562,0.012494648,0.30227956,0.039118674,,,0.38489336,0.011848162,0.001558049,0.00544564,,,0.003461214,0.002109812,0.13039576,0.062240686,,,0.030627163,0.008659704,1538.0912,130.06798,,1361.0605,121.6144,
1,21,10700,Birmingham,0.38805655,0.006110058,0.024616089,0.004421237,5808.7944,0.32295847,0.012392743,0.40587381,0.033017177,0.41617644,0.007504733,0.054684881,0.015485643,0.019281842,0.018524807,0.019921333,0.004330625,4383.9634,1107.0302,257.09457,0.39569566,0.008608706,0.38047898,0.008842772,0.007242975,0.002973385,0.043370631,0.008847665,2987.6099,2819.5215,0.32478783,0.014558278,0.39607412,0.046092723,0.42419201,0.010576339,0.31929192,0.018979957,0.40139428,0.047886837,0.40840197,0.010597037,0.013520544,0.009465754,0.001670744,0.007647937,0.005098288,0.002916799,0.10934173,0.033002134,0.011314291,0.01660352,0.034884814,0.008319102,2248.1309,570.48297,147.61732,2133.9534,535.99884,110.94518
1,23,10802,Demopolis,0.3969731,0.009774181,0.016524242,0.005276201,2543.9063,0.33197245,0.010039815,,,0.50685066,0.018483823,0.02271249,0.007715273,,,0.008073335,0.005269845,832.14276,1764.2913,,0.38573322,0.013064088,0.40890124,0.015030058,0.003307762,0.002968024,0.035262447,0.012377937,1252.9929,1289.9983,0.32201424,0.011486791,,,0.50612795,0.025813049,0.34352878,0.016119456,,,0.50845057,0.027001221,0.001546243,0.001461812,,,0.014035335,0.012243455,0.053166103,0.017923703,,,0.006148288,0.003847977,423.82065,863.50928,,408.23169,899.46558,
1,25,11001,Mobile,0.38430709,0.006632845,0.008765213,0.00263619,4760.8682,0.35101923,0.007325759,,,0.45122221,0.013402133,0.012789657,0.002525762,,,0.001369693,0.001067787,1394.1471,3326.6001,,0.38435495,0.008734414,0.38453457,0.009795541,0.002806508,0.001323264,0.016296482,0.005205677,2409.9778,2350.7498,0.34882015,0.009269659,,,0.46699747,0.018959234,0.35313955,0.011653514,,,0.43589973,0.018993268,0.001394103,0.001109658,,,-0.00094952,0.000943271,0.027723627,0.00925678,,,0.001756558,0.0026426,729.93939,1636.0138,,664.66046,1690.1445,
1,27,9500,Talladega,0.40678033,0.011148113,0.013831642,0.005286141,2021.0896,0.33651647,0.020810964,,,0.43250844,0.013426978,0.059015974,0.024755383,,,0.004489851,0.001256092,1451.2721,573.52411,,0.40849364,0.016539762,0.4055897,0.016135473,0.002090344,0.00237256,0.029070437,0.011487531,1044.1737,978.8476,0.32776856,0.024665298,,,0.44071808,0.019891899,0.34396932,0.032668848,,,0.42694262,0.01812887,0.007759003,0.011842032,,,0.001541895,0.001832074,0.14559193,0.063986242,,,0.006439574,0.002991357,752.31305,302.21011,,701.53339,272.97208,
1,29,9600,LaGrange,0.4124786,0.010814342,0.033694934,0.008612673,2070.2905,0.37999102,0.031120682,,,0.43542519,0.011987025,0.056481168,0.032735135,,,0.025121225,0.008270265,1809.5225,133.14391,,0.4365145,0.015794527,0.38944328,0.014375852,0.0086408,0.005985707,0.057592921,0.015991585,1086.1611,984.60272,0.36695001,0.038649425,,,0.46405095,0.017929519,0.38490918,0.046807505,,,0.40759155,0.016348872,0.010618899,0.022215053,,,0.010033266,0.006673035,0.12437159,0.067714199,,,0.043262716,0.014472079,940.75916,73.987068,,869.36768,58.98975,
1,31,10302,Dothan,0.38671088,0.005617069,0.020128127,0.003778953,5436.501,0.32489008,0.008245776,0.41950998,0.026009664,0.43394071,0.007857896,0.033062473,0.008026719,0.038992718,0.019158166,0.011042511,0.003086169,3154.1707,1900.2102,202.8206,0.41406792,0.00816642,0.3590281,0.007735162,0.003095833,0.001688064,0.041613039,0.00758333,2773.9036,2663.0669,0.3539333,0.012071067,0.42878848,0.035979692,0.45243356,0.011007272,0.29638666,0.011277976,0.40396228,0.037824079,0.41359654,0.011028381,0.00098758,0.000753085,0.006645247,0.004600345,0.00423401,0.00242146,0.071145438,0.017461343,0.10828219,0.056397337,0.020037029,0.006773755,1570.1735,983.04742,105.58134,1584.2614,915.91431,97.371819
1,33,6200,Florence,0.3732456,0.005200951,0.016486695,0.002949439,6718.7813,0.31148249,0.008794744,0.36017302,0.03371229,0.40844825,0.006837672,0.029002313,0.006074955,0.003492799,0.005870757,0.012892644,0.00317867,4525.9375,1854.3363,160.84886,0.37631553,0.007248684,0.37111518,0.007540063,0.004924142,0.002283406,0.028636921,0.005891261,3438.2356,3281.5737,0.32809925,0.012584057,0.35048774,0.053580798,0.40061039,0.009397758,0.29528829,0.012571352,0.36739138,0.047472335,0.41600841,0.009738527,0.005386871,0.004238989,0.011974841,0.016050678,0.005771087,0.002447143,0.058619969,0.015314987,-0.008329017,0.01329939,0.021085935,0.006029642,2282.874,958.74762,91.409645,2240.812,894.64734,70.197525
1,35,11002,Atmore,0.36797199,0.008075834,0.025915811,0.006268547,2657.8438,0.33419845,0.009240086,,,0.43505391,0.01608748,0.029845614,0.008162106,,,0.01051277,0.006238859,876.55035,1769.0355,,0.39118043,0.012122847,0.34339762,0.010604983,-0.001261163,0.000890217,0.05577115,0.013141461,1363.8726,1294.3746,0.34682652,0.012459161,,,0.46929353,0.023140877,0.32094014,0.013762451,,,0.40073541,0.022691967,0.001190487,0.002087883,,,-0.001600982,0.002096334,0.064024441,0.018023679,,,0.020549037,0.013642941,442.78232,915.1424,,433.54501,852.448,
